Blockchain size,Get by id time [ms]
20,19
21,14
22,26
23,17
24,18
25,13
26,18
27,18
28,21
29,15
30,14
31,17
32,12
33,19
34,12
35,12
36,19
37,14
38,44
39,13
40,16
41,13
42,14
43,14
44,16
45,13
46,21
47,15
48,18
49,20
50,13
51,13
52,13
53,14
54,15
55,17
56,15
57,18
58,12
59,12
60,16
61,12
62,14
63,12
64,13
65,13
66,15
67,16
68,12
69,13
70,13
71,13
72,12
73,10
74,14
75,13
76,12
77,11
78,12
79,13
80,14
81,14
82,11
83,13
84,12
85,12
86,11
87,11
88,9
89,23
90,13
91,16
92,24
93,17
94,8
95,11
96,12
97,14
98,12
99,10
100,14
101,13
102,10
103,12
104,11
105,26
106,12
107,11
108,13
109,10
110,15
111,13
112,11
113,13
114,11
115,8
116,9
117,10
118,10
119,11
120,9
121,19
122,10
123,13
124,13
125,9
126,11
127,11
128,10
129,11
130,17
131,14
132,11
133,10
134,12
135,11
136,10
137,10
138,13
139,11
140,12
141,9
142,9
143,9
144,9
145,11
146,13
147,12
148,10
149,15
150,12
151,10
152,12
153,11
154,12
155,10
156,9
157,10
158,10
159,12
160,11
161,11
162,9
163,11
164,12
165,11
166,12
167,13
168,10
169,10
170,12
171,14
172,10
173,10
174,15
175,14
176,10
177,12
178,14
179,19
180,11
181,12
182,12
183,9
184,11
185,12
186,18
187,8
188,10
189,13
190,10
191,13
192,17
193,12
194,12
195,10
196,12
197,11
198,13
199,10
200,9
201,13
202,10
203,10
204,14
205,11
206,10
207,10
208,12
209,11
210,11
211,18
212,11
213,11
214,12
215,10
216,11
217,9
218,10
219,15
220,13
221,10
222,11
223,10
224,10
225,17
226,10
227,12
228,11
229,11
230,14
231,11
232,10
233,10
234,12
235,11
236,11
237,14
238,11
239,11
240,11
241,13
242,11
243,22
244,11
245,11
246,12
247,17
248,11
249,11
250,13
251,12
252,12
253,11
254,11
255,17
256,10
257,11
258,12
259,17
260,10
261,9
262,12
263,12
264,9
265,11
266,10
267,10
268,13
269,10
270,16
271,12
272,9
273,10
274,10
275,13
276,10
277,10
278,17
279,11
280,10
281,12
282,18
283,13
284,11
285,10
286,10
287,12
288,12
289,9
290,9
291,6
292,16
293,12
294,12
295,21
296,12
297,11
298,11
299,12
300,11
301,14
302,10
303,14
304,11
305,17
306,11
307,11
308,10
309,11
310,12
311,16
312,11
313,10
314,9
315,10
316,8
317,12
318,11
319,14
320,10
321,9
322,11
323,10
324,21
325,13
326,9
327,24
328,12
329,9
330,9
331,12
332,10
333,11
334,11
335,10
336,9
337,12
338,10
339,9
340,12
341,14
342,11
343,11
344,14
345,20
346,10
347,9
348,11
349,9
350,12
351,9
352,10
353,10
354,11
355,10
356,10
357,10
358,11
359,11
360,10
361,9
362,12
363,18
364,11
365,8
366,13
367,11
368,12
369,9
370,10
371,10
372,11
373,11
374,11
375,10
376,9
377,10
378,11
379,9
380,10
381,17
382,12
383,13
384,10
385,9
386,10
387,10
388,10
389,12
390,11
391,12
392,10
393,10
394,9
395,10
396,9
397,10
398,11
399,12
400,11
401,15
402,11
403,11
404,15
405,20
406,12
407,15
408,14
409,11
410,10
411,11
412,9
413,16
414,9
415,10
416,10
417,12
418,10
419,11
420,13
421,9
422,10
423,11
424,11
425,12
426,11
427,16
428,16
429,17
430,13
431,11
432,9
433,11
434,11
435,14
436,11
437,9
438,9
439,9
440,9
441,21
442,18
443,11
444,13
445,10
446,11
447,12
448,10
449,9
450,13
451,15
452,12
453,11
454,12
455,12
456,19
457,13
458,18
459,15
460,10
461,15
462,18
463,18
464,15
465,12
466,14
467,12
468,11
469,10
470,16
471,10
472,12
473,12
474,9
475,9
476,9
477,16
478,11
479,10
480,9
481,11
482,15
483,11
484,13
485,11
486,9
487,11
488,14
489,11
490,11
491,10
492,11
493,12
494,10
495,10
496,10
497,11
498,9
499,10
500,11
501,11
502,11
503,9
504,10
505,11
506,9
507,9
508,11
509,9
510,10
511,10
512,11
513,11
514,11
515,14
516,9
517,11
518,11
519,10
520,10
521,12
522,12
523,12
524,10
525,11
526,11
527,13
528,11
529,17
530,16
531,11
532,13
533,10
534,12
535,11
536,9
537,14
538,12
539,10
540,14
541,11
542,10
543,10
544,9
545,16
546,19
547,12
548,11
549,12
550,9
551,8
552,10
553,12
554,10
555,12
556,11
557,11
558,10
559,9
560,19
561,10
562,10
563,8
564,9
565,11
566,9
567,9
568,8
569,10
570,9
571,9
572,9
573,14
574,14
575,14
576,10
577,10
578,10
579,10
580,12
581,10
582,11
583,10
584,10
585,19
586,12
587,12
588,8
589,10
590,10
591,9
592,15
593,10
594,11
595,11
596,10
597,12
598,10
599,19
600,11
601,11
602,11
603,11
604,10
605,11
606,11
607,11
608,12
609,10
610,16
611,11
612,12
613,10
614,18
615,9
616,10
617,9
618,10
619,11
620,13
621,17
622,13
623,21
624,16
625,10
626,11
627,12
628,8
629,9
630,11
631,47
632,9
633,27
634,17
635,11
636,10
637,10
638,11
639,10
640,12
641,8
642,16
643,12
644,11
645,11
646,8
647,10
648,10
649,13
650,11
651,26
652,10
653,12
654,11
655,10
656,11
657,12
658,11
659,11
660,11
