Blockchain size,Add new block time [ms]
20,2191
21,2079
22,2083
23,2093
24,2070
25,2072
26,2062
27,2069
28,2078
29,2069
30,2072
31,2072
32,2061
33,2068
34,2076
35,2071
36,2072
37,2064
38,2072
39,2058
40,2061
41,2072
42,2080
43,2065
44,2080
45,2067
46,2074
47,2073
48,2071
49,2054
50,2067
51,2069
52,2066
53,2058
54,2055
55,2058
56,2062
57,2051
58,2067
59,2074
60,2060
61,2128
62,2078
63,2059
64,2052
65,2071
66,2062
67,2064
68,2053
69,2091
70,2058
71,2061
72,2067
73,2044
74,2079
75,2062
76,2071
77,2062
78,2051
79,2067
80,2054
81,2062
82,2053
83,2067
84,2061
85,2077
86,2066
87,2066
88,2073
89,2060
90,2054
91,2052
92,2064
93,2058
94,2064
95,2060
96,2063
97,2065
98,2068
99,2061
100,2057
101,2071
102,2062
103,2059
104,2056
105,2063
106,2062
107,2060
108,2054
109,2072
110,2060
111,2064
112,2063
113,2071
114,2070
115,2059
116,2059
117,2053
118,2063
119,2075
120,2055
121,2064
122,2049
123,2073
124,2082
125,2060
126,2062
127,2064
128,2056
129,2057
130,2050
131,2068
132,2054
133,2052
134,2070
135,2065
136,2066
137,2068
138,2065
139,2063
140,2052
141,2071
142,2057
143,2061
144,2052
145,2070
146,2062
147,2058
148,2064
149,2069
150,2056
151,2063
152,2058
153,2051
154,2065
155,2057
156,2058
157,2075
158,2063
159,2063
160,2062
161,2050
162,2082
163,2065
164,2047
165,2077
166,2061
167,2064
168,2071
169,2070
170,2054
171,2062
172,2062
173,2059
174,2099
175,2093
176,2080
177,2065
178,2066
179,2065
180,2054
181,2054
182,2072
183,2066
184,2062
185,2045
186,2066
187,2076
188,2066
189,2075
190,2056
191,2103
192,2078
193,2088
194,2064
195,2056
196,2073
197,2062
198,2059
199,2060
200,2062
201,2050
202,2064
203,2062
204,2069
205,2047
206,2076
207,2057
208,2070
209,2057
210,2066
211,2067
212,2066
213,2055
214,2047
215,2056
216,2070
217,2061
218,2061
219,2087
220,2054
221,2054
222,2056
223,2064
224,2068
225,2067
226,2077
227,2067
228,2053
229,2059
230,2070
231,2064
232,2060
233,2057
234,2075
235,2053
236,2070
237,2045
238,2068
239,2072
240,2057
241,2071
242,2063
243,2064
244,2055
245,2075
246,2067
247,2045
248,2056
249,2064
250,2069
251,2057
252,2054
253,2051
254,2067
255,2056
256,2057
257,2059
258,2066
259,2052
260,2062
261,2079
262,2053
263,2063
264,2063
265,2065
266,2080
267,2070
268,2061
269,2058
270,2055
271,2073
272,2068
273,2066
274,2067
275,2077
276,2056
277,2067
278,2082
279,2053
280,2064
281,2071
282,2074
283,2053
284,2068
285,2072
286,2052
287,2069
288,2066
289,2069
290,2069
291,4285
292,2485
293,2063
294,2066
295,2059
296,2060
297,2060
298,2054
299,2070
300,2075
301,2069
302,2050
303,2064
304,2070
305,2063
306,2059
307,2060
308,2061
309,2083
310,2071
311,2071
312,2060
313,2053
314,2073
315,2050
316,2055
317,2048
318,2046
319,2068
320,2058
321,2071
322,2052
323,2059
324,2080
325,2085
326,2081
327,2062
328,2048
329,2062
330,2067
331,2062
332,2060
333,2063
334,2071
335,2056
336,2065
337,2067
338,2062
339,2076
340,2062
341,2106
342,2067
343,2065
344,2064
345,2065
346,2087
347,2067
348,2075
349,2079
350,2074
351,2055
352,2061
353,2057
354,2067
355,2073
356,2059
357,2061
358,2080
359,2070
360,2070
361,2053
362,2055
363,2058
364,2075
365,2072
366,2054
367,2072
368,2049
369,2060
370,2051
371,2053
372,2071
373,2070
374,2050
375,2058
376,2064
377,2065
378,2065
379,2070
380,2066
381,2076
382,2082
383,2069
384,2080
385,2069
386,2047
387,2053
388,2058
389,2071
390,2054
391,2058
392,2061
393,2067
394,2053
395,2072
396,2064
397,2056
398,2054
399,2067
400,2052
401,2071
402,2078
403,2062
404,2092
405,2133
406,2055
407,2071
408,3469
409,2057
410,2061
411,2070
412,2064
413,2061
414,2065
415,2060
416,2065
417,2068
418,2057
419,2084
420,2075
421,2046
422,2045
423,2049
424,2056
425,2055
426,2064
427,2071
428,2089
429,2067
430,2078
431,2069
432,2073
433,2054
434,2072
435,2066
436,2053
437,2090
438,2060
439,2064
440,2095
441,2106
442,4145
443,2090
444,2073
445,2050
446,2069
447,2061
448,2073
449,2069
450,2072
451,3692
452,2694
453,2058
454,2067
455,2071
456,2069
457,2083
458,2074
459,2060
460,2077
461,2093
462,2121
463,2072
464,2097
465,2071
466,2118
467,2071
468,2059
469,2072
470,2065
471,2070
472,2079
473,2064
474,2064
475,2076
476,2075
477,2066
478,2071
479,2079
480,2067
481,2069
482,2050
483,2072
484,2062
485,2073
486,2060
487,2066
488,2061
489,2069
490,2072
491,2069
492,2057
493,2071
494,2069
495,2060
496,2075
497,2064
498,2060
499,2058
500,2071
501,2077
502,2064
503,2075
504,2063
505,2083
506,2065
507,2070
508,2075
509,2066
510,2065
511,2058
512,2075
513,2064
514,2065
515,2069
516,2058
517,2077
518,2054
519,2057
520,2071
521,2054
522,2061
523,2068
524,2072
525,2062
526,2072
527,2071
528,2069
529,2066
530,2089
531,2070
532,2059
533,2076
534,2064
535,2064
536,2071
537,2065
538,2066
539,2071
540,2059
541,2079
542,2084
543,2071
544,2060
545,2064
546,2070
547,2063
548,2074
549,2061
550,2066
551,2072
552,2076
553,2050
554,2068
555,2053
556,2062
557,2073
558,2062
559,2072
560,2054
561,2066
562,2061
563,2066
564,2059
565,2069
566,2067
567,2067
568,2067
569,2059
570,2068
571,2069
572,2069
573,2063
574,2050
575,2054
576,2069
577,2073
578,2061
579,2053
580,2066
581,2062
582,2070
583,2059
584,2057
585,2065
586,2066
587,2056
588,2076
589,2063
590,2094
591,2059
592,2078
593,2070
594,2057
595,2059
596,2053
597,2079
598,2086
599,2068
600,2074
601,2063
602,2076
603,2064
604,2055
605,2067
606,2061
607,2077
608,2065
609,2077
610,2059
611,2066
612,2064
613,2050
614,2062
615,2055
616,2076
617,2053
618,2096
619,2067
620,2067
621,2071
622,2087
623,2070
624,2092
625,2079
626,2086
627,2070
628,2064
629,2071
630,2058
631,2123
632,2081
633,2080
634,2128
635,2065
636,2073
637,2064
638,2051
639,2071
640,2085
641,2072
642,2066
643,2051
644,2087
645,2063
646,2068
647,2059
648,2079
649,2057
650,2070
651,2055
652,2059
653,2084
654,2064
655,2068
656,2067
657,2077
658,2058
659,2091
660,2083
